ChemicalID,DiseaseID,label
C073331,MESH:D058426,0
C042566,MESH:D007003,0
C007982,MESH:D004617,0
C484876,MESH:D003924,1
D000077553,MESH:D006943,1
D002714,MESH:D009207,0
D020123,MESH:D009389,1
C055085,MESH:D003093,1
D015248,MESH:D006953,1
D004298,MESH:D006323,1
C561233,MESH:D010167,0
C015896,MESH:D048909,1
D000077333,MESH:D005921,1
C085911,MESH:D009362,1
D004809,MESH:D007024,1
D000077222,MESH:C538117,0
C115284,MESH:D002037,0
D011464,MESH:D005355,0
C106219,MESH:D015882,0
D003622,MESH:D007918,1
D000068677,MESH:D006943,1
D002164,MESH:D000435,0
C544967,MESH:D006209,0
C052036,MESH:D000881,0
C477182,MESH:D012170,0
D000096,MESH:D007951,0
D015645,MESH:D018184,0
C413684,MESH:D001943,1
C057837,MESH:D009127,1
C510463,MESH:D006102,0
C040424,MESH:D006406,0
C003237,MESH:D011657,0
D010653,MESH:D001172,1
C038637,MESH:D003922,0
D000493,MESH:D065626,1
C055163,MESH:D007516,0
C526438,MESH:D001943,1
D000728,MESH:D011471,1
C036877,MESH:D000647,1
C009684,MESH:D011658,0
C021339,MESH:D017180,1
D011089,MESH:D018487,0
C054337,MESH:D013344,0
C411764,MESH:D007752,0
D006594,MESH:D007752,1
C036454,MESH:D010272,1
C067110,MESH:D019970,1
C026189,MESH:D001919,1
D011719,MESH:D020246,1
D010431,MESH:D013203,1
C438273,MESH:D054243,0
C404922,MESH:D017191,0
D003891,MESH:D010554,1
D014117,MESH:D006561,0
D011284,MESH:D016523,0
D002927,MESH:D016889,1
C051414,MESH:D013746,0
C402179,MESH:D007333,0
D001546,MESH:D015431,1
D002945,MESH:D005770,1
D010666,MESH:D018262,0
D013792,MESH:D006975,1
C047116,MESH:D007022,0
D000077206,MESH:D006563,0
D016685,MESH:D018450,1
C008548,MESH:D010182,1
C102609,MESH:D045828,0
C077990,MESH:D015043,0
C004742,MESH:D000230,1
D008713,MESH:D013971,1
D014292,MESH:D066126,1
D005283,MESH:D013375,1
D020912,MESH:D003866,1
D008795,MESH:D034701,0
C031349,MESH:D009373,0
C085266,MESH:D011128,0
D000068299,MESH:D000799,1
D002110,MESH:D005770,0
C056165,MESH:D008103,1
C026539,MESH:D012140,0
C572065,MESH:D000784,0
D005277,MESH:D003872,0
C475761,MESH:D008545,1
C040015,MESH:D009336,1
C092431,MESH:D018476,0
C041648,MESH:D000849,0
D013881,MESH:D010259,1
C016568,MESH:D019964,0
D019833,MESH:D009203,1
C009804,MESH:D014390,0
C102148,MESH:D001471,1
C065533,MESH:D006948,1
C078626,MESH:D055371,1
C010052,MESH:D014860,0
D008774,MESH:D013375,1
C018021,MESH:D005348,0
C482492,MESH:D000236,1
C049811,MESH:D056486,1
C033830,MESH:D005316,0
D020845,MESH:D004685,0
C109453,MESH:D020773,0
C524865,MESH:C536330,1
D018967,MESH:D057180,1
C013934,MESH:D014252,0
D001379,MESH:D019693,1
C524550,MESH:D015299,0
C458139,MESH:D022124,0
D010546,MESH:D009069,1
C019286,MESH:D006030,0
D009842,MESH:D002389,0
D019207,MESH:D007964,1
C479140,MESH:D004916,0
C446602,MESH:D014689,0
D001564,MESH:D006509,0
C462953,MESH:D006952,0
D013874,MESH:D010146,1
C033585,MESH:D011230,1
C049772,MESH:D004881,0
C104672,MESH:D000857,0
C016215,MESH:D054438,0
C062323,MESH:D014949,0
D001397,MESH:D006946,1
D010419,MESH:D001404,1
C512542,MESH:D009669,0
D008787,MESH:D001919,1
C539157,MESH:D006948,1
D009921,MESH:D004646,1
C035229,MESH:D044483,0
C015068,MESH:D001068,1
C007527,MESH:D009450,0
C522803,MESH:D005600,0
C049347,MESH:D005923,1
D011794,MESH:D006965,1
C119129,MESH:D009361,1
D015283,MESH:D006929,0
C000713095,MESH:D014514,0
C069276,MESH:D010305,0
C454400,MESH:D015428,0
D000098,MESH:D006948,1
C038044,MESH:D011658,1
C520571,MESH:D005132,0
C524716,MESH:D014008,0
D000069439,MESH:D015466,1
C051168,MESH:D008104,0
D001599,MESH:D006973,1
D014640,MESH:D017714,1
C038983,MESH:D005923,1
D011464,MESH:D009369,1
C561691,MESH:D020428,0
C121954,MESH:D013610,1
D010880,MESH:D017379,1
C086108,MESH:D008569,1
C424127,MESH:D014689,0
C051883,MESH:D009401,1
C043561,MESH:D006976,1
C572919,MESH:D011536,0
D003622,MESH:D056006,1
C409945,MESH:D011595,0
D020910,MESH:D016510,0
C548477,MESH:D014549,0
D002746,MESH:D053714,0
C064876,MESH:D006974,0
D000077405,MESH:D020326,1
C066902,MESH:D007008,1
D014031,MESH:D004927,1
C518327,MESH:D007759,0
D007649,MESH:D005157,1
C502805,MESH:D014806,0
D014212,MESH:D009362,1
C031179,MESH:D018195,1
D019297,MESH:D012791,0
